node_a,relation_a_to_b,node_b,relation_b_to_a
giảng viên,tham gia,Nhà trường,yêu cầu
giảng viên,tham gia trong,hội thảo,có tham dự
giảng viên,được nghỉ dạy,thứ Hai 03/09/2018,là ngày nghỉ dạy và học
giảng viên,làm việc tại,trường đại học,có
giảng viên,tham gia,"chương trình đào tạo tài năng, chất lượng cao",là điều kiện tham gia của
Quyết định số 92/2004/QĐ-TTg,đánh dấu sự ra đời của,Trường Đại học Công nghệ,được tổ chức theo
Chương trình đào tạo,thuộc ngành,Trí tuệ nhân tạo,thuộc
Chương trình đào tạo,có ngành,Công nghệ thông tin,là ngành
Chương trình đào tạo,thuộc ngành,Hệ thống thông tin,thuộc
Chương trình đào tạo,bao gồm,Ngành Vật lý kỹ thuật,thuộc
Chương trình đào tạo,bao gồm,Ngành Kỹ thuật máy tính,thuộc
Chương trình đào tạo,thuộc ngành,Vật liệu và linh kiện nano,thuộc
Chương trình đào tạo,thuộc ngành,Khoa học máy tính,thuộc
Chương trình đào tạo,dành cho,Khoá QH-2015 đến QH-2018,thuộc
Chương trình đào tạo,có phần,Giới thiệu chung,thuộc
Chương trình đào tạo,có phần,Chuẩn đầu ra,thuộc
Chương trình đào tạo,có phần,Nội dung chương trình đào tạo,thuộc
Chương trình đào tạo,là tài liệu chi tiết cho,Chương trình,xem tại
Chương trình đào tạo,tập trung vào,Hệ thống thông tin (HTTT),là một phần của
Công nghệ hàng không vũ trụ,được liệt kê trong,bài viết liên quan,đề cập
Công nghệ hàng không vũ trụ,mã tuyển sinh,CN7,ứng với
Công nghệ hàng không vũ trụ,bằng tốt nghiệp,Kỹ sư,tuyển theo
Công văn số 294/ĐT,của,Trường Đại học Công nghệ,ban hành
Nguyễn Việt Hà,thuộc,Trường ĐHCN,có đại diện
năm học 2017-2018,gắn với,học kỳ II,thuộc
thỏa thuận hợp tác,giữa,Trường Đại học Công nghệ,ký kết
phòng Đào tạo,hỗ trợ giải quyết,vướng mắc,được hỗ trợ bởi
khoa Công nghệ thông tin,thuộc,Trường Đại học Công nghệ,có đơn vị
buổi làm việc,diễn ra vào,05/7/2023,diễn ra
Đại học Công nghệ Sydney,sang làm việc với,danh sách đoàn,gồm
Đại học Công nghệ Sydney,sang làm việc với,Trường Đại học Công nghệ,hợp tác với
Hội nghị sinh viên nghiên cứu khoa học,diễn ra vào,năm 2023,diễn ra
Hội nghị sinh viên nghiên cứu khoa học,diễn ra tại,Trường Đại học Công nghệ,tổ chức
Hà Nội,thuộc,Thạch Thất,thuộc
Hà Nội,được cho là cái nôi của,startup công nghệ,xuất phát từ
Hà Nội,có trường,THPT Chu Văn An,thuộc tỉnh/thành phố
Hà Nội,có trường,THPT Chuyên – Trường ĐH Sư phạm Hà Nội,thuộc tỉnh/thành phố
Hà Nội,có trường,THPT Chuyên Hà Nội – Amsterdam,thuộc tỉnh/thành phố
Hà Nội,có trường,THPT Chuyên Nguyễn Huệ,thuộc tỉnh/thành phố
Hà Nội,có trường,THPT Sơn Tây,thuộc tỉnh/thành phố
chương trình đào tạo chất lượng cao,căn cứ theo,Thông tư 23/2014/TT-BGDĐT,quy định về
chương trình đào tạo chất lượng cao,thuộc ngành,Khoa học máy tính,thuộc
chương trình đào tạo chất lượng cao,thuộc ngành,"Công nghệ kỹ thuật điện tử, truyền thông",thuộc
Lễ khai giảng,tổ chức bởi,Trường Đại học Công nghệ,là đơn vị tổ chức
Lễ khai giảng,có sự tham dự,PGS.TS. Nguyễn Việt Hà,phát biểu tại
Lễ khai giảng,có sự tham dự,ThS. Lê Thị Phương Thoa,tham dự
Chử Đức Trình,là Hiệu trưởng,Trường Đại học Công nghệ,có Hiệu trưởng
tân Tiến sĩ,phát biểu tại,Lễ trao bằng tốt nghiệp đợt 2 năm 2023,diễn ra
tân Thạc sĩ,phát biểu tại,Lễ trao bằng tốt nghiệp đợt 2 năm 2023,diễn ra
đánh giá ngoài,diễn ra cho,chương trình đào tạo cử nhân ngành Công nghệ kỹ thuật Cơ điện tử,được đánh giá
Phòng Đào tạo,thuộc,Trường Đại học Công nghệ,có phòng
Phòng Đào tạo,gửi,Sinh viên,liên hệ
Phòng Đào tạo,cung cấp,Điện thoại,của
Phòng Đào tạo,có email,TuyensinhDHCN@vnu.edu.vn,thuộc
Phòng Đào tạo,có email,daotao_dhcn@vnu.edu.vn,là hòm thư
Phòng Đào tạo,yêu cầu,sinh viên năm 2024,liên hệ
Phòng Đào tạo,thông báo căn cứ,kết luận của Hội đồng xét tốt nghiệp,được căn cứ bởi
Phòng Đào tạo,thuộc,Trường ĐH Công nghệ,có
Phòng Đào tạo,nhắc tới,lịch học bù,được giảng viên sắp xếp
Phòng Đào tạo,cung cấp hướng dẫn,đơn đăng ký,được nộp cho
Phòng Đào tạo,thông báo,danh sách sinh viên đủ điều kiện tốt nghiệp,được công bố bởi
Phòng Đào tạo,có địa chỉ,"Phòng 107, Nhà E3, 144 Xuân Thủy, Cầu Giấy, Hà Nội",là địa chỉ của
Phòng Đào tạo,thuộc,ĐHQGHN,có
Lễ ký kết hợp tác,diễn ra giữa,Trường Đại học Công nghệ,tham gia
Danh sách sinh viên,đạt,học bổng từ Quỹ học bổng Thắp sáng Tương lai,có
UET,thuộc về,Trường Đại học Công nghệ – ĐHQGHN,liên quan đến
UET,được gắn với,Trường Đại học Công nghệ,có tên viết tắt
UET,liên quan đến,Trường ĐH Công nghệ,viết tắt
UET,liên quan,trường Đại học Công nghệ,được nhắc đến cùng
UET,có,sinh viên,thuộc
UET,đào tạo,Hệ thống thông tin,được học tại
UET,đào tạo,Mạng máy tính và Truyền thông dữ liệu,được học tại
UET,thuộc,Trường Đại học Công nghệ – Đại học Quốc gia Hà Nội,được viết tắt
Thỏa thuận hợp tác chiến lược,được ký kết bởi,Trường Đại học Công nghệ,tham gia hợp tác thông qua
25 năm ngày truyền thống,liên quan đến,Trường Đại học Công nghệ,liên quan đến
ĐHQGHN (VNU-UET),có,Trường Đại học Công nghệ,thuộc
kỳ thi HSA,diễn ra trong,đợt 1/2024,diễn ra
Văn phòng đại diện Phòng Giáo dục Hàn Quốc ở nước ngoài tại Việt Nam,phối hợp,Trường Đại học Công nghệ,phối hợp
GS.TS Chử Đức Trình,phát biểu tại,lễ ký kết,có sự tham gia của
GS.TS Chử Đức Trình,thuộc,Trường ĐH Công nghệ,có
GS.TS Chử Đức Trình,là Hiệu trưởng,Trường Đại học Công nghệ,có đại diện
TS. Nguyễn Thu Hương,là Phó Hiệu trưởng,Trường Đại học Công nghệ,có đại diện
GS.TS. Nguyễn Thanh Thủy,là Phó Hiệu trưởng,Trường Đại học Công nghệ,có đại diện
GS.TS. Nguyễn Thanh Thủy,nghiên cứu về,Trí tuệ nhân tạo,do
trường đại học,chủ động xây dựng,chương trình đào tạo thạc sĩ,được đăng ký tham gia bởi
trường đại học,có,giảng viên,làm việc tại
doanh nghiệp,hợp tác với,Trường ĐHCN,huy động hỗ trợ từ
bằng độc quyền giải pháp hữu ích,được cấp cho,Trường Đại học Công nghệ,nhận bằng
Hội thảo quốc tế,thuộc lĩnh vực,Môi trường,liên quan đến
Hội thảo quốc tế,mã,ICMAEE 2024,là hội thảo
Hội thảo quốc tế,diễn ra tại,Trường Đại học Công nghệ,đăng cai
Hệ thống Tối ưu hóa lập lịch ca trực vận hành,triển khai tại,Nhà máy thủy điện Sơn La,có triển khai
Hệ thống Tối ưu hóa lập lịch ca trực vận hành,được nghiệm thu bởi,Công ty Thủy điện Sơn La,nghiệm thu việc triển khai
chương trình đào tạo liên kết quốc tế,giữa,Trường Đại học Công nghệ,tham gia
chương trình đào tạo liên kết quốc tế,và,Đại học Paris-Saclay,tham gia
Trường Đại học Tổng hợp Hà Nội,dâng hoa,Anh hùng Liệt sỹ,được tưởng nhớ
Trường Đại học Tổng hợp Hà Nội,là nơi đặt,Khoa Công nghệ Thông tin,thuộc
Phạm Hồng Công,thuộc,Trường Đại học Công nghệ,đào tạo
Phạm Hồng Công,có,17 bài báo quốc tế,được tạo bởi
Giáo sư Nguyễn Đình Đức,hợp tác với,Trần Quốc Quân,là học trò của
Giáo sư Nguyễn Đình Đức,đại diện cho,Các nhà khoa học Việt Nam,được khẳng vị thế nhờ
Giáo sư Nguyễn Đình Đức,công tác tại,Trường Đại học Công nghệ,có Chủ tịch Hội đồng là
Lễ bế mạc đánh giá ngoài,diễn ra tại,Trường Đại học Công nghệ,tổ chức
Kỹ thuật máy tính,có mã xét tuyển,CN2,ứng với
Kỹ thuật máy tính,liên quan,Công nghệ thông tin,có chương trình
đội ngũ giảng viên,được đào tạo,Trường,đào tạo
Hội đồng xử lý học vụ năm học 2021-2022,thuộc,Trường Đại học Công nghệ,có
động lực,tạo ra,đam mê,được nuôi dưỡng bởi
Chương trình học bổng,là,Toshiba,được nhắc trong
hoạt động đào tạo,diễn ra tại,ĐHQGHN,được Cổng thanh toán trực tuyến iPrice ghi nhận
nhà trường,thông báo,sinh viên,thuộc
ICMAEE 2024,tập trung vào,tối ưu hóa tấm,được nghiên cứu trong
ICMAEE 2024,là hội thảo,Hội thảo quốc tế,mã
ICMAEE 2024,tập trung vào,Kỹ thuật Cơ Điện tử,thuộc
ICMAEE 2024,tập trung vào,Hệ thống tự động,lĩnh vực trong
ICMAEE 2024,tập trung vào,Môi trường,được nhắc trong
ICMAEE 2024,thuộc về,Môi trường năm 2024,liên quan đến
ICMAEE 2024,chủ đề,Nghiên cứu dao động phi tuyến,được đề cập trong
ICMAEE 2024,chủ đề,Tối ưu hóa tấm,được nghiên cứu bởi
ICMAEE 2024,nghiên cứu,dao động phi tuyến,được nghiên cứu trong
ICMAEE 2024,thuộc về,động và Môi trường,liên quan đến
ICMAEE 2024,bao gồm chủ đề,Tối ưu hóa tấm làm bằng vật liệu composite ba pha,được đề cập trong
ICMAEE 2024,được nhắc đến trong,Bài viết liên quan,đề cập đến
đào tạo,kết hợp với,nghiên cứu,được gắn kết chặt chẽ với
đào tạo,đặc biệt là,đào tạo,đặc biệt là
chuyển giao công nghệ,được khẳng định,năng lực nghiên cứu khoa học,được khẳng định
chuyển giao công nghệ,liên quan đến,tạo tài năng,gắn với
chương trình đào tạo,không tính tín chỉ cho,nghiên cứu khoa học,là yêu cầu bắt buộc trong
chương trình đào tạo,bao gồm,chuẩn đầu ra của chương trình đào tạo,thuộc
chương trình đào tạo,bao gồm,nội dung chương trình đào tạo,thuộc
chương trình đào tạo,có phần,giới thiệu chung về chương trình đào tạo,trình bày
chương trình đào tạo,địa điểm đào tạo,Trường Đại học Công nghệ,nhận hỗ trợ về
chương trình đào tạo,được đánh giá 06,chương trình đào tạo,được đánh giá 06
chương trình đào tạo,có,chuẩn đầu ra,gắn với
Trường Đại học Công nghệ Chiba,tham quan,Trường Đại học Công nghệ,hợp tác với
Trường Đại học Công nghệ Chiba,tham dự,hội thảo Đào tạo và nghiên cứu về Kỹ thuật Robot phối hợp,hợp tác giữa
Tập đoàn Samsung Việt Nam,đồng hành triển khai,chương trình đào tạo nguồn nhân lực lĩnh vực bán dẫn và vi mạch,được triển khai cùng
Tập đoàn Samsung Việt Nam,hợp tác đào tạo với,Trường Đại học Công nghệ – Đại học Quốc gia Hà Nội,làm việc với
LG Display Việt Nam Hải Phòng,viết tắt là,LGDVH,là
tư vấn trực tuyến,có chủ đề,Kỳ thi HAS,được đề cập trong
học bổng,dành cho,Sinh viên,đăng ký
học bổng,tại,Trường Đại học Công nghệ,cấp
học bổng,hỗ trợ,sinh viên,nhận
học bổng,dành cho,nghiên cứu sinh,có thể được nhận
học bổng,do,Quỹ học bổng Thắp sáng Tương lai,cấp
học bổng,cấp theo,đợt xét tháng 6 năm 2024,xử lý
học bổng,dành cho,sinh viên có hoàn cảnh khó khăn,gửi email đề nghị
học bổng,được đăng tin trên,Tin Sinh Viên,liên quan đến
chương trình giao lưu quốc tế,tại,Trường Đại học Công nghệ,tham gia
Trung tâm khảo thí ĐHQGHN,ký kết văn bản hợp tác với,Trường Đại học Công nghệ,ký kết hợp tác với
GS.TSKH Nguyễn Đình Đức,chụp ảnh lưu niệm với,các thế hệ NCS,được chụp cùng với
GS.TSKH Nguyễn Đình Đức,được chụp ảnh trong,UET-News,đăng bài về
GS.TSKH Nguyễn Đình Đức,tham dự cùng,Trường Đại học Công nghệ,có tham dự
GS.TSKH Nguyễn Đình Đức,hỗ trợ cùng,ĐHQGHN,có tham dự
GS.TS. Chử Đức Trình,giữ chức vụ,Hiệu trưởng,là
GS.TS. Chử Đức Trình,thuộc,Trường ĐH Công nghệ,được đại diện bởi
GS.TS. Chử Đức Trình,điều phối,Buổi làm việc,có sự tham dự từ
GS.TS. Chử Đức Trình,thuộc về,Trường Đại học Công nghệ – Đại học Quốc gia Hà Nội (VNU-UET),tham dự bởi
